variant,n,mean_s,std_s
kdtree_build,1000,0.00154800,0.00000773
kdtree_build,5000,0.00968845,0.00037213
kdtree_build,10000,0.02215006,0.00088486
kdtree_build,20000,0.05843367,0.00696042
kdtree_build,50000,0.19915055,0.03364302
kdtree_build,100000,0.61112263,0.04427078
kdtree_build,200000,1.42815963,0.05125161
kdtree_build,500000,4.04638942,0.19483677
kdtree_query,1000,0.00000995,0.00000037
kdtree_query,5000,0.00003217,0.00000032
kdtree_query,10000,0.00006037,0.00000279
kdtree_query,20000,0.00012900,0.00001667
kdtree_query,50000,0.00034700,0.00004228
kdtree_query,100000,0.00073469,0.00004650
kdtree_query,200000,0.00153945,0.00002626
kdtree_query,500000,0.00392409,0.00004530
naive_query,1000,0.00003811,0.00000127
naive_query,5000,0.00019798,0.00000544
naive_query,10000,0.00040917,0.00001085
naive_query,20000,0.00075254,0.00002297
